Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
Afghanistan,AFG,EMRO,LIC,2020,2,15_64,0
Afghanistan,AFG,EMRO,LIC,2020,4,15_64,
Afghanistan,AFG,EMRO,LIC,2020,7,0_4,
Afghanistan,AFG,EMRO,LIC,2020,10,15_64,
Afghanistan,AFG,EMRO,LIC,2021,1,15_64,
Afghanistan,AFG,EMRO,LIC,2021,2,15_64,
Afghanistan,AFG,EMRO,LIC,2021,3,15_64,
Afghanistan,AFG,EMRO,LIC,2021,4,15_64,
Afghanistan,AFG,EMRO,LIC,2021,11,65+,
Afghanistan,AFG,EMRO,LIC,2022,1,15_64,
Afghanistan,AFG,EMRO,LIC,2022,2,15_64,
Afghanistan,AFG,EMRO,LIC,2022,3,15_64,
Afghanistan,AFG,EMRO,LIC,2022,4,15_64,
Afghanistan,AFG,EMRO,LIC,2022,10,5_14,
Afghanistan,AFG,EMRO,LIC,2022,10,65+,
Afghanistan,AFG,EMRO,LIC,2022,11,5_14,
Afghanistan,AFG,EMRO,LIC,2022,11,65+,
Afghanistan,AFG,EMRO,LIC,2023,10,5_14,
Afghanistan,AFG,EMRO,LIC,2023,10,65+,
Afghanistan,AFG,EMRO,LIC,2023,11,5_14,
Afghanistan,AFG,EMRO,LIC,2023,11,65+,
Afghanistan,AFG,EMRO,LIC,2024,1,65+,
Afghanistan,AFG,EMRO,LIC,2024,2,5_14,
Afghanistan,AFG,EMRO,LIC,2024,2,65+,
Afghanistan,AFG,EMRO,LIC,2024,5,5_14,
Afghanistan,AFG,EMRO,LIC,2024,5,65+,
Afghanistan,AFG,EMRO,LIC,2024,6,5_14,
Afghanistan,AFG,EMRO,LIC,2024,6,65+,
Afghanistan,AFG,EMRO,LIC,2024,12,0_4,
Afghanistan,AFG,EMRO,LIC,2025,12,0_4,
Afghanistan,AFG,EMRO,LIC,2020,1,15_64,
Afghanistan,AFG,EMRO,LIC,2020,3,65+,0
Afghanistan,AFG,EMRO,LIC,2020,7,65+,
Afghanistan,AFG,EMRO,LIC,2020,8,0_4,
Afghanistan,AFG,EMRO,LIC,2020,8,65+,
Afghanistan,AFG,EMRO,LIC,2020,9,0_4,
Afghanistan,AFG,EMRO,LIC,2020,11,15_64,
Afghanistan,AFG,EMRO,LIC,2021,7,0_4,
Afghanistan,AFG,EMRO,LIC,2021,8,0_4,
Afghanistan,AFG,EMRO,LIC,2021,8,5_14,
Afghanistan,AFG,EMRO,LIC,2021,9,0_4,
Afghanistan,AFG,EMRO,LIC,2021,9,5_14,
Afghanistan,AFG,EMRO,LIC,2021,10,15_64,
Afghanistan,AFG,EMRO,LIC,2021,11,15_64,
Afghanistan,AFG,EMRO,LIC,2022,7,0_4,
Afghanistan,AFG,EMRO,LIC,2022,8,0_4,
Afghanistan,AFG,EMRO,LIC,2022,10,15_64,
Afghanistan,AFG,EMRO,LIC,2022,11,15_64,
Afghanistan,AFG,EMRO,LIC,2023,1,15_64,
Afghanistan,AFG,EMRO,LIC,2023,1,5_14,
Afghanistan,AFG,EMRO,LIC,2023,2,15_64,
Afghanistan,AFG,EMRO,LIC,2023,2,5_14,
Afghanistan,AFG,EMRO,LIC,2023,3,15_64,
Afghanistan,AFG,EMRO,LIC,2023,3,5_14,
Afghanistan,AFG,EMRO,LIC,2023,4,15_64,
Afghanistan,AFG,EMRO,LIC,2023,4,5_14,
Afghanistan,AFG,EMRO,LIC,2024,1,15_64,
Afghanistan,AFG,EMRO,LIC,2024,1,5_14,
Afghanistan,AFG,EMRO,LIC,2024,2,15_64,
Afghanistan,AFG,EMRO,LIC,2024,5,15_64,
Afghanistan,AFG,EMRO,LIC,2024,12,65+,
